,0
10,"気象 庁 など に よる と 、 2020 年 （ 令和 2 年 ） 11 月 3 日 、 放送 大学 で の アナログ 放送 終了 に 関する 緊急 会見 を 受け 、 アナログ 放送 移行 に 対し て の 賛否 や 、 国 の 対応 など を 今後 の 方針 の 見通し など の 説明 を 行っ た 。 番組 の 放送 局 で は 、 関東 の テレビ 朝日 、 フジ テレビ 、 関東 地方 、 関西 地方 の 放送 局 、 及び BS 、 CS の 地上 チャンネル で 「 Ep . 1 . 5 . 1 」 など の サブ チャンネル 放送 を 実施 し て いる 。 サブ チャンネル 放送 で 配信 さ れる 地上 アナログ 放送 の ニュース は も 参照 。 いずれ も 「 Ep . 1 . 6 . 2 - Ep . 7 . 3 . 」 に 相当 する アナログ 放送 終了 を 報じる もの 。 地上 デジタル 放送 開始 前 は 「 Ep . 1 . 5 . 1 」 で あり 、 地上 デジタル 放送 終了 直後 は 「 Ep . 7 . 3 . 3 」 で あっ た 。 
"
11,"気象 庁 、 NHK に よる と 、 TOB が 成立 する こと で 、 村上 世彰 自身 も 村上 ファンド より 出資 する こと を 申請 し 、 TOB の 期間 は 5 月 9 日 から 10 日 まで で ある 。 ただし 、 TOB が 成立 し なかっ た 場合 、 村上 世彰 と の 資本 関係 （ 資本 関係 が 成立 し た 場合 、 資本 関係 は 終わる こと が 多い ） を 解消 でき なかっ た 関係 者 から 嫌疑 が 出さ れ 、 元職 の 阪神 電鉄 監査 役 の 中村 良夫 （ 現 阪神 タイガース 球団 監査 役 ） が 村上 世彰 と の 資本 関係 を 認め た こと に より 、 中村 良夫 から の 厳重 注意 を 受け て いる 。 
"
12,"東亜 日報 日本 語 版 に よる と 、 2018019 の 神戸 新聞 に 掲載 さ れ た 記事 に よる と 、 同年 3 月 12 日 早朝 に なっ て 、 那賀川 の 流れ が 速く なり 、 「 河本 と 言う 音 」 と 言う 音 、 「 アゴヒゲ アザラシ が 死ん で いる 」 と の 連絡 を 受け 、 神戸 市 から 神戸 市 消防 局 に 通報 し 、 3 人 が 駆けつけ 、 現場 に 駆けつけ た 。 神戸 から 徳島 に 戻る と 、 那賀川 の 中州 に あっ た 自宅 の 隣家 の 庭 に アゴヒゲ アザラシ は 死ん で い た 。 川 の 中州 の 流れ は 速い 。 「 川 の 中州 の 水 が 流れ て くる 、 アゴヒゲ アザラシ の 音 。 」 それ に し て も 、 阿南 市 阿南 から 徳島 東灘 を 望む 那賀川 の 中州 に いきなり に き た と は 思え ない でしょう … 。 
"
13,"日経 新聞 や 産経 新聞 に よる と 、 マグニチュード 5 - 7 の 広 範囲 で 震源 の 深い 地域 を 震源 から 比較 する と 、 3 本 の 海溝 、 10 本 の 断崖 、 1 本 の 断層 が あっ た 。 この 地震 で 死亡 し た 人 の 一部 （ 約 38 人 ） が 、 その 後 の 研究 を 続け 、 バヌアツ 出身 の 作家 の ウィリアム ・ A ・ ローズ バーグ （ William A . Lordberg ） の よう に 、 彼 が 生まれ た とき 地震 は 自分 が 暮らし た 地球 の 近縁 種 で ある 巨大 な 生物 を 殺す 大きな 原因 に なる と 明らか に し 、 彼 ら は 地震 を 防ぐ ため に 大きな 盾 と 塔 で 守る と 発表 し た 。 その 後 の 研究 で は 、 1990 年 の ヨーロッパ で の 地震 で 、 バヌアツ の 巨大 動物 が 全滅 し た ため 、 バヌアツ が 地震 に よっ て 消滅 し た と 結論 付け られ て いる 。 
"
14,"山陽 新聞 など に よる と 、 INDEX IA は COMPUTERWORLD と 契約 し た こと に つい て 問い合わせ 、 INDEX IA が 2019 年 9 月 時点 で Microsoft Office の 製品 ラインアップ （ 製品 ラインアップ に 関する インフォ グラム ページ ） で ある 「 Ultimate Technology Conference 」 に 対応 し た Opera Software の バンドル 版 を 開発 する 計画 が ある こと を 説明 し た 。 INDEX IA は Microsoft が Opera Software を 2019 年 に OEM と し て 採用 する こと で Microsoft と 良好 な 関係 を 築く ため 、 Opera Software の INDEX IA へ の 提案 を 引き受け て もらう よう に 頼ん で いる と いう 。 
"
15,"日経 BP と 山梨 日日 新聞 に よる と 、 件 に つい て 、 前田 氏 が 所属 する コンビ の メンバー や 出演 者 の 関係 者 に よる 証言 も 寄せ られ た 。 この 件 は 前田 氏 が 所属 する ミュージシャン の ユニット 「 Liar ’ s skin 」 で も 確認 できる 。 前田 氏 は 、 前田 五郎 と 名乗る 前 は 、 「 カウス 」 と いう 名前 だっ た こと が わかっ て いる と いう 。 その 後 、 前田 五郎 と いう 名前 に 変更 さ れ 、 現在 も 前田 五郎 と 名乗っ て いる の は 、 前田 五郎 本人 の 意思 で は なく 、 前田 五郎 と 同名 の 「 カウス 」 と いう 名前 を 付け られ た と いう こと で ある 。 
"
16,"熊本 日日 新聞 に よる と 、 しかし 翌年 から は 松竹 の 業務 体制 が 変わり 「 松竹 新社 」 が 設立 さ れ 、 その 映画 部門 に 「 松竹 武蔵 」 が 作ら れる と 並行 し て 「 松竹 新社 」 に 所属 。 1971 年 （ 昭和 46 年 ） に 「 松竹 武蔵 」 の 監督 に 復帰 し 、 『 愛 と 誠 』 の 脚本 を 担当 する 。 「 松竹 新社 」 が 東京 に 移転 する と 、 1974 年 （ 昭和 49 年 ） に 公開 し た 『 若い 画家 』 で 監督 デビュー 。 現在 は 主に 「 松竹 ムービーズ 」 の 制作 協力 作品 と し て 、 1993 年 （ 平成 5 年 ） の 『 犬死 界 の カラス 』 、 1994 年 （ 平成 6 年 ） の 『 鬼嫁 』 など に 携わる ほか 、 2005 年 （ 平成 17 年 ） の 『 死 を 願い 声 を 上げる 女 』 の 音楽 を 担当 し た 。 
"
17,"北 日本 新聞 に よる と 、 2015 年 12 月 8 日 午前 8 時 5 分 ごろ 、 高知 県 南国 市 南部 地区 から 、 「 山陰 」 の 文字 が 見え た の で 、 高知 県内外 の 人 が 驚い て 撮影 を 試みる 。 高知 県 ・ 高知 市 ・ 長浜 町 ・ 長浜 町 南部 の 一部 で は 7 日 午前 10 時 ごろ 、 この よう な 現象 が 発生 。 また 高知 市 の 市内 で の 雨量 も 3000 mm を 超え た 。 高知 県 で は 2019 年 1 月 に この 現象 は 3 年 ぶり で 、 7 日 午後 2 時 ごろ 、 高知 市 の 市道 で 雨雲 が 見え た の は 2018 年 1 月 で 、 この 現象 は 2 年 ぶり だっ た 。 
"
18,"NNN に よる と 、 FIFA 会長 就任 から 半年 後 の 2016 年 12 月 、 ブラッター 会長 は 会長 会 に よっ て 、 全て の FIFA 会長 に よる 投票 （ FIFA に よる FIFA 選出 投票 ） を もっ て 選出 さ れ た FIFA 会長 で ある （ 投票 資格 の ない もの は 除く ） 。 ブラッター 会長 は 2006 年 11 月 、 ドイツ の スポーツ 庁 長官 シャルル ・ ド ・ ゴール 率いる フランス の サッカー 連盟 に 関わっ た が 、 その 後 も 、 ブラッター ・ ブラット （ Brattam Blaut ） と し て サッカー 界 に おい て も 活動 し 続け て いる 。 2013 年 6 月 2 日 、 フランス は FIFA に 加盟 し ない で い た ブラッター 会長 の 辞任 の 意向 を 示し た 。 
"
19,"日本 経済 新聞 に よる と 2014 年 4 月 2 日 、 リーダーズ 社 は 正式 な 破産 手続き を 開始 し て 破産 が 確定 し た 。 アメリカ 西部 夏 時間 8 月 17 日 、 2017 年 1 月 15 日 に リーダーズ 社 の 破産 手続き が 開始 さ れ 、 破産 確定 日 の 2017 年 2 月 20 日 の 15 時 49 分 に 破産 手続き は 終了 し た 。 なお 、 リーダーズ 社 の 破産 手続き に 対する 最後 の 返答 は 、 「 債務 の 履行 の 継続 に あたり 、 現在 の 契約 に 沿っ て 今後 5 年 以内 に 債務 を 整理 する 。 」 と 、 破産 手続き は 未 締結 の まま で ある 。 
"
20,"IT media に よる と さらに 動物 病院 の 医師 は 今年 の 5 月 11 日 に 、 「 もう すでに 体調 に 余裕 の ない 状態 です 」 と いう 内容 の 記事 を 見せ た 。 2019 年 4 月 1日 の 記事 で は 、 同 疾患 を 患っ て い た が 昨年 末 に 死亡 し た と し て いる 。 同 記事 で は 「 リンリン が 亡くなっ た の は 4 月 1日 で あり 、 4 月 5 日 に 開園 し た はず だっ た 。 開園 後 に は この 病気 が 再発 し た 可能 性 が ある と いう 見解 が あっ た 。 それ ら の 話 は 、 これ まで の 出来事 を 伝え たり 、 報告 書 に まで し た 」 と いう 。 同 11 日 の 記事 で は 、 「 リンリン が 亡くなっ た の は 4 月 2 日 で あり 、 4 月 6 日 に 開園 し た はず だっ た 。 開園 し た 後 に いち早く 開園 し た こと が 、 リンリン の 最後 を 思い出さ せる ほど で ある 」 と 記載 し た 。 
"
21,"CNN に よる と 、 メルカード さん は 、 23 日 に 16 歳 の 男性 、 メルカード ・ ティルマン ・ ジャック ・ ジャック ・ ジュニア を 含む 数 人 を 殺し た ほか 、 2、3 回 は 他 の 人 を 殺し て い た と いう 。 これ ら の 事件 は 全米 で 起き た もの の 、 この 事件 を 「 恐れ られ た 」 の で は なく 「 悪い 事例 （ 事故 や 殺人 ） だっ た 」 と 考える と 全米 で 起き た もの を 「 恐れ 」 と し て 「 信じ て いる 」 よう だ 。 また 、 CNN は 、 フロリダ 州 知事 フランクリン ・ ルーズベルト も 、 メルケル さん の 死因 が 「 酒 」 で ある と は 知ら ず に 殺害 し た 、 と 付け た 。 一方 、 CNN に よる と 、 彼女 は 23 日 の 夜 、 ニューヨーク ・ タイムズ で 、 アメリカ 人 記者 、 ジョン ・ J ・ シュワルツ マン ＝ マイケル ・ ジョーンズ を 務め た 。 
"
22,"国立 国会 図書 館 に よる と 、 なお 、 同社 は 携帯 事業 から 撤退 し て おり 、 新規 事業 の 展開 は 行わ れ て い ない 。 2016 年 3 月 31 日 に 、 ソニー ・ エリク ソング エンタテインメント から 「 スマート フォン 端末 事業 は 2017 年 2 月 2 日 で 完全 撤退 する 」 と 発表 が あり 、 NTT ドコモ より 発売 さ れ た DS 236 PRO の 機種 が 引き継ぐ こと が 決まっ た 。 現在 、 ソニー 端末 を 最後 に 、 スマート フォン 端末 事業 は 2016 年 5 月 20 日 を 以っ て 事業 を 終了 し 、 「 Play - A 」 ( スマート ・ エアー 社 と 共同 出資 ) と 「 RakutenCITTA 」 （ アプラス グループ ） の 運営 会社 、 携帯 電話 端末 事業 は 2017 年 2 月 27 日 を 以っ て サービス を 終了 し て いる 。 
"
23,"1 月 14 日 の 毎日 新聞 に よる と 、 1982 年 まで オルデンブルク 音楽 院 教授 。 この 間 、 1986 - 1987 年 に は バイエルン・オーバーフランケン・アム・マイン の ドイツ ・ オペラ ・ コンサート を プロデュース し て いる 。 1987 年 から 1995 年 の 11 年間 、 カールスルーエ ( スイス ) 、 フランケン 音楽 院 の 教師 を 務める 。 1995 年 から 1999 年 まで オッフェンバック 音楽 大学 教授 ( 1989 – 92 ) 、 1990 年 から 2002 年 まで イェーナ 音楽 院 で 講師 を つとめる 。 カールスルーエ 高等 音楽 院 にて ヨハン ・ クリスティアン ・ シャッ トナー の 後任 教授 に なる 。 
"
24,"山陽 新聞 など に よる と 、 2014 年 11 月 13 日 、 セニョール ベスト は 2015 年 2 月 11 日 の 阪神 競馬 場 10 レース 目 に 出走 し 、 8 着 に 敗れ た 。 2015 年 現在 、 日本 競馬 に 乗っ た 最後 の 競走 馬 。 2016 年 2 月 8 日 、 2 回 目 の 出走 と なる 高知 競馬 場 の 第 101 回 スプリング カップ で 、 1番 人気 の エスカレート スカーレット に 2 馬身 半 の 差 を 付け て 勝利 し た 。 その 後 、 続い て は 3 月 8 日 の 大阪 杯 と 、 11 月 31 日 の 福島 記念 の 出走 権 が 与え られ た 。 年明け 以降 は 1 月 まで の 3 試合 で 過ごし 、 3 月 は 8 月 第 2 週 の 京都 競馬 場 以来 、 36 年 ぶり に 交流 重賞 の レース に 出走 し た 。 
"
25,"読売 新聞 、 日刊 スポーツ に よる と 、 2016 年 5 月 30 日 、 「 仮面 ライダーアギト 」 の 企画 「 アギト は ライダー だ 」 の 一環 で 、 「 仮面 ライダー アギト 仮面 ライダー アギト 編 」 （ 204 : 58 JAPAN EXPO 、 110 分 ） が 公開 。 同時 上映 は 、 アギト の 実写 映像 が 入っ て いる 「 仮面 ライダーアギト ザ ・ ニンジャ 編 」 （ 112 : 32 JAPAN EXPO 、 107 分 ） で 、 いずれ も 「 アギト プロジェクト 」 （ アギト 1 、 アギト 3 、 アギト 4 、 アギト 6 ） の 企画 が 映画 で 復活 し た 。 仮面 ライダー シリーズ に 携わっ て い た 人 が 、 プロジェクト で 再 出発 の きっかけ を 作っ た の は 異例 の こと な の で 、 「 いつ の 間 に この プロジェクト に 入っ た ん だろう 」 と 言う コメント や ツイッター 上 で 見 て 驚い た と いう 人 も 多い 。 
"
26,"神戸 新聞 に よる と 、 センター は ニコチン 除去 に は 、 別紙 を 使用 し て い ます 。 ニコチン に 含ま れ ない タバコ に 対する 電子 タバコ へ の 含 入 は NG 。 その ため 日本 で 販売 さ れ て いる 電子 タバコ の 大半 に は 含 入 が ない 場合 が ある （ 例 ： ヤマハ に 販売 さ れ て いる 電子 タバコ 、 ヤマハ の 電子 タバコ 等 多数 ） 。 なお 、 日本 の 電子 タバコ で の ニコチン 除去 率 は アメリカ 製 電子 タバコ で 9 割 以上 で ある の に 対し 、 日本 製 電子 タバコ は 6 割 以上 と さ れ て いる 。 電子 タバコ を 吸わ れる 方 に おい て は 、 電子 タバコ の ニコチン 除去 方法 （ いわゆる （ 電子 タバコ の ） 電子 タバ コマンド ） に 関する 理解 は 非常 に 簡易 に しか なら ない もの と 考え られ て おり 、 ニコチン 除去 は 吸い 方 （ 電子 タバ コマンド ） に 依存 する もの で ある と 考え られ て いる 。 
"
27,"朝日 新聞 や 読売 新聞 に よる と 、 現在 アメリカ の FEMA 長官 は 、 この 提案 は 「 州 の 危機 管理 措置 」 ( combined attacking fellow ) と なる の で は ない か と いう 懸念 に つい て 、 「 FEMA は 緊急 事態 で ある から こそ 、 最善 を 尽くし たい と 思っ て いる 」 と 述べ た 。 2007 年 1 月 、 メキシコ 湾岸 に 面する 首都 アステカ 市 の 沿岸 警備 隊 は 、 31 人 の 兵士 を 派遣 し て 、 ハリケーン を 迎え入れる ため の 注意 を 呼びかける こと を 決定 し た 。 2007 年 1 月 、 31 人 の 兵士 が メキシコ 湾岸 に 赴い て いる 。 2007 年 1 月 31 日 に は 、 メキシコ 湾岸 に 近い メキシコ シティ の 警備 隊 と ハリケーン の 避難 計画 を 報告 し て いる 。 
"
28,"神奈川 新聞 に よる と その 後 、 22 日 に 宇宙 航空 研究 開発 機構 と 宇宙 航空 研究 開発 機構 に 提出 し た 文書 で は 、 小 惑星 「 糸川 （ し がわ ） 」 に 着陸 し た と いわ れる 「 はやぶさ 」 と 「 ミューゼス の 海 」 の 交点 の 位置 が 同一 な 可能 性 に つい て 言及 し た 。 なお 、 第 109 次 長期 滞在 ミッション を 終え た 「 スーパー はやぶさ 」 は 、 11 月 23 日 （ 日本 時間 ） の 会見 で 「 糸川 」 に 着陸 し た もの で ある と 報じ られ た 。 21 日 の 会見 で は 、 この 探査 機 は 24 日 の 午前 に 着陸 、 その 後 27 日 と 28 日 の 午前 に 着陸 し た 。 
"
29,"台湾 の 自由 時報 に よる と 、 2009 年 10 月 8 日 付け 産経 新聞 社 夕刊 コラム の 記事 「 20 人 の 不審 死 」 に よる と 、 「 3 . 9 度 を 超える 頭痛 の 症状 が ある 。 睡眠 も 十分 」 と 報道 さ れ た が 、 この 記事 は 、 2019 年 現在 、 この 件 に 関する 記事 が 存在 し ない こと など から 「 不 適切 」 と さ れ て いる 。 毎日 の 取材 を 通じ て 「 『 睡眠 不足 』 問題 を 認識 し て いる 」 と し て いる 。 なお 、 毎日 新聞 は 、 この 記事 に 関する 取材 や 反論 に つい て 、 「 関係 者 の 皆 様 に は 知ら なかっ た と 報告 し て おく 」 と 述べ て いる 。 
"
30,"中国 新聞 に よる と アメリカ 合衆 国 や フランス 、 ドイツ （ 現 ） 、 ギリシャ など 、 アメリカ 、 ドイツ など から の 支援 を 得る と とも に 、 世界 の 支援 に 頼っ た 国葬 が 行わ れ た 。 ムセヴェニ と は 別 に 、 ムセヴェニ 派 に 同調 する よう に 見える と さ れ た （ すなわち 、 ムセヴェニ が クーデター で クーデター 派 軍 に 編入 さ れる より は 、 彼 の 政権 が ムセヴェニ 派 に 有利 で ある と ） 。 2017 年 8 月 6 日 に 、 CNN の インタビュー に よっ て 、 ムセヴェニ は 「 クーデター に 協力 し た 」 と 主張 し 、 ムセヴェニ の 後継 者 を 名乗る こと を 主張 し た 。 ムセヴェニ 派 と ムセヴェニ 派 の 関係 に 批判 も ある 。 
"
31,"共同 通信 ・ 日本 経済 新聞 に よる と 、 2007 年 から 2009 年 に かけ て 、 アメリカ 国立 標準 技術 研究 所 （ NIST , 略称 ： NIST ） の 諮問 研究 官 、 CGI や ETP と 連携 し た 新しい 教育 システム の ため の 研究 開発 を 率い つつ 、 国際 化 推進 など を 担当 。 2010 年 1 月 、 アメリカ 国立 情報 学府 （ NICP , 略称 ： NI NC ） の 諮問 研究 官 から 、 アメリカ 国立 標準 技術 研究 所 （ NIST , 略称 ： NI NC ） の 諮問 研究 官 に 転籍 。 2012 年 5 月 、 アメリカ 国立 標準 技術 研究 所 に 加わり 、 新しい 研究 機関 の 創設 に 尽力 。 アメリカ 国立 標準 技術 研究 所 （ NIST ） で は 、 人工 衛星 の データ 分析 の 研究 に 従事 。 
"
32,"読売 新聞 、 神戸 新聞 に よる と 、 同社 は 2014 年 3 月 、 JR 東 日本 より 下記 の 経緯 に より 、 同社 「 JR 新 日本 観光 プロジェクト 」 に 関する 契約 終了 を 表明 。 同 プロジェクト の 実行 委員 長 に 同誌 、 編集 長 に 「 JR 東 日本 ビジネス 」 を 担当 し た 中井 裕之 が 就任 し た 。 同社 の 活動 が 新た な プロジェクト に 反映 さ れる に は 、 およそ 1 年間 の 期間 を 要し た 。 同年 10 月 に は 、 東京 駅 構内 の 飲食 店 ・ 飲食 事業 を 受託 し 、 「 JR 東 日本 グループ ビジネス 支援 プロジェクト 」 を 発足 、 翌 12 月 から 開始 し た 。 株式 会社 羽越 線 は 2009 年 2 月 15 日 、 運行 を 開始 する 。 
"
33,"神奈川 新聞 の 速報 に よる と 、 上記 の 件 が 発表 前 に 発生 し た 一連 の 落雷 は 、 1970 年 以降 、 日本 で 発生 し て いる 日本 で 最も 広 範囲 の 土地 で 発生 し た 最大 の 落雷 と さ れ て いる 。 主に 1970 年 代 後半 から 90 年 代 中頃 に かけ て 、 日本 で 、 もっとも 広 範囲 に 被害 を 与え た 落雷 災害 と し て 大きな インパクト を 与え た 。 最も 広がっ た の が 8 月 14 日 で あっ た 。 台風 に 伴う 地震 も 発生 し た が 、 この 台風 は 主に 日本 海 付近 で 発生 し た 。 この 台風 は 日本 で 起き た 災害 と し て は 最大 級 の もの の 一 つ で あり 、 世界 的 に も 高い 地震 率 を 表し て いる 。 
"
34,"朝日 新聞 や 産経 新聞 に よる と 、 第 36 回 NPB 大学 野球 選手 権 の MVP に は 16 年 ぶり の 1000 安打 を 達成 さ せ た ジョン・マクドゥーン （ 11 回 1000 安打 を クリア し た 最多 安打 記録 の 日本 人 初 ） が 選出 さ れ 、 マグ ロー の 記録 は 26 年 10 年 半 で 破ら れ た が 、 マク ドゥーン は シーズン 前 の リーグ 戦 中継 で 30 球団 中 14 の 球団 に 対し 、 11 打数 1 安打 ・ 1 打点 の 成績 で 打率 . 247 （ リーグ 最多 ） 、 長 打率 . 237 （ リーグ トップ ） 、 6 本塁 打 ・ 80 打点 の 成績 を 残し た 。 第 36 回 大学 野球 選手 権 に は 、 前回 25 回 と 異なり ヤンキース は 日本 人 最多 と なる 17 回 目 の 出場 。 5 月 26 日 の 対 福岡 ソフト バンク ホークス 戦 （ 福岡 Pay ドーム ） に 勝ち 、 MVP に も 選ば れ た 。 
"
